# energy [hartree]:-73.8396768405
# iterations before stopping: 18
#Runtime settings
#number of atoms: 40
#electronic configuration: [2 2 1 1]
#wiegner seitz radious: 3.93
#R_c: 13.440410940878838
#beta: 0.25

#r	rho	potential
2.92	0.00403249682669	-0.221252934738
2.94	0.00404355154255	-0.221408285135
2.96	0.00405451934085	-0.221562997037
2.98	0.00406539805301	-0.221717061693
3.0	0.00407618553314	-0.22187047059
3.02	0.00408687965871	-0.222023215447
3.04	0.00409747833109	-0.222175288211
3.06	0.00410797947619	-0.222326681049
3.08	0.00411838104503	-0.222477386345
3.1	0.00412868101431	-0.222627396693
3.12	0.00413887738703	-0.222776704894
3.14	0.00414896819307	-0.222925303947
3.16	0.00415895148972	-0.223073187047
3.18	0.00416882536226	-0.22322034758
3.2	0.00417858792456	-0.223366779115
3.22	0.00418823731959	-0.223512475403
3.24	0.00419777171999	-0.223657430369
3.26	0.00420718932858	-0.223801638109
3.28	0.00421648837896	-0.223945092885
3.3	0.00422566713597	-0.224087789122
3.32	0.00423472389625	-0.2242297214
3.34	0.00424365698875	-0.224370884453
3.36	0.00425246477523	-0.224511273164
3.38	0.00426114565075	-0.22465088256
3.4	0.00426969804419	-0.22478970781
3.42	0.0042781204187	-0.224927744219
3.44	0.00428641127222	-0.225064987226
3.46	0.00429456913789	-0.2252014324
3.48	0.00430259258455	-0.225337075437
3.5	0.0043104802172	-0.225471912154
3.52	0.00431823067737	-0.225605938491
3.54	0.00432584264366	-0.225739150506
3.56	0.00433331483207	-0.225871544367
3.58	0.00434064599646	-0.226003116359
3.6	0.00434783492895	-0.226133862874
3.62	0.00435488046029	-0.226263780411
3.64	0.00436178146028	-0.226392865574
3.66	0.00436853683812	-0.226521115071
3.68	0.0043751455428	-0.226648525708
3.7	0.0043816065634	-0.226775094395
3.72	0.00438791892951	-0.226900818136
3.74	0.00439408171149	-0.227025694032
3.76	0.00440009402086	-0.227149719281
3.78	0.00440595501053	-0.227272891173
3.8	0.00441166387519	-0.227395207092
3.82	0.00441721985153	-0.227516664516
3.84	0.00442262221856	-0.227637261011
3.86	0.00442787029785	-0.22775699424
3.88	0.00443296345378	-0.227875861954
3.9	0.00443790109382	-0.227993861995
3.92	0.00444268266872	-0.228110992298
3.94	0.00444730767276	-0.228227250891
3.96	0.00445177564392	-0.228342635891
3.98	0.00445608616413	-0.22845714551
4.0	0.00446023885938	-0.228570778054
4.02	0.00446423339996	-0.228683531923
4.04	0.00446806950056	-0.228795405612
4.06	0.00447174692045	-0.228906397716
4.08	0.00447526546361	-0.229016506926
4.1	0.00447862497881	-0.229125732035
4.12	0.00448182535978	-0.229234071936
4.14	0.00448486654524	-0.229341525628
4.16	0.00448774851902	-0.229448092217
4.18	0.00449047131009	-0.229553770914
4.2	0.00449303499268	-0.229658561045
4.22	0.00449543968622	-0.229762462048
4.24	0.00449768555546	-0.229865473476
4.26	0.00449977281042	-0.229967595002
4.28	0.00450170170642	-0.230068826423
4.3	0.00450347254407	-0.23016916766
4.32	0.00450508566921	-0.230268618763
4.34	0.00450654147288	-0.230367179914
4.36	0.00450784039128	-0.230464851432
4.38	0.00450898290571	-0.230561633774
4.4	0.00450996954243	-0.230657527544
4.42	0.00451080087262	-0.23075253349
4.44	0.00451147751225	-0.230846652514
4.46	0.00451200012194	-0.230939885673
4.48	0.00451236940685	-0.231032234185
4.5	0.00451258611648	-0.231123699434
4.52	0.00451265104458	-0.231214282972
4.54	0.00451256502888	-0.231303986527
4.56	0.00451232895095	-0.231392812004
4.58	0.00451194373598	-0.231480761495
4.6	0.00451141035255	-0.231567837279
4.62	0.00451072981241	-0.23165404183
4.64	0.00450990317021	-0.231739377821
4.66	0.00450893152323	-0.231823848132
4.68	0.00450781601114	-0.23190745585
4.7	0.00450655781566	-0.231990204279
4.72	0.00450515816028	-0.232072096945
4.74	0.00450361830994	-0.232153137599
4.76	0.0045019395707	-0.232233330225
4.78	0.00450012328938	-0.232312679045
4.8	0.0044981708532	-0.232391188524
4.82	0.00449608368942	-0.232468863377
4.84	0.00449386326494	-0.232545708573
4.86	0.00449151108591	-0.232621729342
4.88	0.00448902869731	-0.232696931181
4.9	0.00448641768252	-0.23277131986
4.92	0.00448367966288	-0.232844901425
4.94	0.00448081629725	-0.232917682209
4.96	0.00447782928153	-0.232989668832
4.98	0.0044747203482	-0.233060868211
5.0	0.00447149126579	-0.233131287564
5.02	0.00446814383843	-0.233200934416
5.04	0.00446467990529	-0.233269816604
5.06	0.00446110134008	-0.233337942284
5.08	0.00445741005049	-0.233405319936
5.1	0.00445360797765	-0.233471958368
5.12	0.00444969709556	-0.233537866725
5.14	0.00444567941053	-0.23360305449
5.16	0.00444155696056	-0.233667531493
5.18	0.00443733181479	-0.233731307914
5.2	0.00443300607283	-0.233794394288
5.22	0.00442858186419	-0.233856801511
5.24	0.00442406134763	-0.233918540844
5.26	0.00441944671053	-0.23397962392
5.28	0.00441474016819	-0.234040062745
5.3	0.00440994396323	-0.234099869705
5.32	0.00440506036488	-0.234159057567
5.34	0.00440009166832	-0.23421763949
5.36	0.00439504019396	-0.23427562902
5.38	0.00438990828674	-0.234333040101
5.4	0.00438469831545	-0.234389887076
5.42	0.00437941267199	-0.234446184687
5.44	0.00437405377062	-0.234501948085
5.46	0.00436862404724	-0.234557192826
5.48	0.00436312595866	-0.234611934881
5.5	0.00435756198183	-0.23466619063
5.52	0.00435193461304	-0.234719976872
5.54	0.00434624636721	-0.234773310822
5.56	0.00434049977709	-0.234826210116
5.58	0.00433469739245	-0.234878692808
5.6	0.0043288417793	-0.234930777377
5.62	0.00432293551911	-0.234982482725
5.64	0.00431698120798	-0.235033828174
5.66	0.00431098145582	-0.235084833475
5.68	0.00430493888556	-0.235135518799
5.7	0.0042988561323	-0.235185904743
5.72	0.00429273584247	-0.235236012324
5.74	0.00428658067304	-0.235285862985
5.76	0.00428039329061	-0.235335478587
5.78	0.00427417637062	-0.23538488141
5.8	0.00426793259647	-0.235434094152
5.82	0.00426166465866	-0.235483139925
5.84	0.00425537525396	-0.235532042252
5.86	0.00424906708449	-0.235580825067
5.88	0.00424274285692	-0.235629512707
5.9	0.00423640528153	-0.23567812991
5.92	0.00423005707138	-0.235726701813
5.94	0.00422370094142	-0.235775253943
5.96	0.0042173396076	-0.235823812216
5.98	0.00421097578598	-0.235872402929
6.0	0.00420461219188	-0.235921052753
6.02	0.00419825153894	-0.235969788732
6.04	0.00419189653828	-0.236018638269
6.06	0.00418554989755	-0.236067629123
6.08	0.00417921432012	-0.236116789403
